country,normalized_light_intensity,avg_d_kbps,avg_u_kbps,avg_lat_ms,tests,geometry
The Philippines,0.3628674222040266,64757.75,55375.25,21.75,71.5,"POLYGON ((122.074584960938 6.90461404723808, 122.080078125 6.90461404723808, 122.080078125 6.89916069002835, 122.074584960938 6.89916069002835, 122.074584960938 6.90461404723808))"
The Philippines,0.482296358880209,89848.0,44673.5,15.0,3.0,"POLYGON ((121.052856445312 13.6780132567255, 121.058349609375 13.6780132567255, 121.058349609375 13.6726758186698, 121.052856445312 13.6726758186698, 121.052856445312 13.6780132567255))"
The Philippines,0.3470554895908949,4855.0,8136.0,84.0,1.0,"POLYGON ((120.536499023438 14.4293603933732, 120.5419921875 14.4293603933732, 120.5419921875 14.4240404443547, 120.536499023438 14.4240404443547, 120.536499023438 14.4293603933732))"
The Philippines,0.3275007971063789,11486.5,6642.0,11.5,7.0,"POLYGON ((120.596923828125 14.5250977010989, 120.602416992188 14.5250977010989, 120.602416992188 14.5197800463261, 120.596923828125 14.5197800463261, 120.596923828125 14.5250977010989))"
The Philippines,0.3514830895255061,1147.0,1644.0,26.0,2.0,"POLYGON ((120.602416992188 14.5250977010989, 120.60791015625 14.5250977010989, 120.60791015625 14.5197800463261, 120.602416992188 14.5197800463261, 120.602416992188 14.5250977010989))"
The Philippines,0.345940744782019,52905.0,44062.0,11.75,1101.5,"POLYGON ((121.09130859375 14.5623177019148, 121.096801757812 14.5623177019148, 121.096801757812 14.5570009430895, 121.09130859375 14.5570009430895, 121.09130859375 14.5623177019148))"
The Philippines,0.4558980156629045,55232.0,50220.25,10.75,856.5,"POLYGON ((121.09130859375 14.5570009430895, 121.096801757812 14.5570009430895, 121.096801757812 14.5516840561434, 121.09130859375 14.5516840561434, 121.09130859375 14.5570009430895))"
The Philippines,0.3557601465011052,68489.75,65477.5,8.5,1065.25,"POLYGON ((121.096801757812 14.5570009430895, 121.102294921875 14.5570009430895, 121.102294921875 14.5516840561434, 121.096801757812 14.5516840561434, 121.096801757812 14.5570009430895))"
The Philippines,0.3464539281391259,68598.0,64257.5,10.0,1776.0,"POLYGON ((121.063842773438 14.5782672092405, 121.0693359375 14.5782672092405, 121.0693359375 14.572950835033, 121.063842773438 14.572950835033, 121.063842773438 14.5782672092405))"
The Philippines,0.3116479687465492,74826.25,73023.0,9.0,2679.75,"POLYGON ((121.063842773438 14.572950835033, 121.0693359375 14.572950835033, 121.0693359375 14.5676343325769, 121.063842773438 14.5676343325769, 121.063842773438 14.572950835033))"
