country,avg_d_kbps,avg_u_kbps,avg_lat_ms,tests,geometry,normalized_light_intensity
The Philippines,61541,56224,13,1,"POLYGON ((120.097045898438 16.1302620120348, 120.1025390625 16.1302620120348, 120.1025390625 16.124985029561, 120.097045898438 16.124985029561, 120.097045898438 16.1302620120348))",0.3613027132025121
The Philippines,46688,33207,28,172,"POLYGON ((120.964965820312 14.7589473199356, 120.970458984375 14.7589473199356, 120.970458984375 14.7536353315404, 120.964965820312 14.7536353315404, 120.964965820312 14.7589473199356))",0.3546001611192539
The Philippines,42159,35749,19,105,"POLYGON ((120.970458984375 14.7589473199356, 120.975952148438 14.7589473199356, 120.975952148438 14.7536353315404, 120.970458984375 14.7536353315404, 120.970458984375 14.7589473199356))",0.3676979867417875
The Philippines,42853,49297,14,915,"POLYGON ((120.95947265625 14.6207935808273, 120.964965820312 14.6207935808273, 120.964965820312 14.6154782341453, 120.95947265625 14.6154782341453, 120.95947265625 14.6207935808273))",0.3279730680699438
The Philippines,37685,32161,15,1634,"POLYGON ((120.95947265625 14.6154782341453, 120.964965820312 14.6154782341453, 120.964965820312 14.6101627588732, 120.95947265625 14.6101627588732, 120.95947265625 14.6154782341453))",0.3499919595743602
The Philippines,40688,46889,24,936,"POLYGON ((120.95947265625 14.6101627588732, 120.964965820312 14.6101627588732, 120.964965820312 14.6048471550539, 120.95947265625 14.6048471550539, 120.95947265625 14.6101627588732))",0.4116872719451738
The Philippines,44388,33736,12,1149,"POLYGON ((121.052856445312 14.6261087988768, 121.058349609375 14.6261087988768, 121.058349609375 14.6207935808273, 121.052856445312 14.6207935808273, 121.052856445312 14.6261087988768))",0.3072606208806691
The Philippines,19253,19997,5,1,"POLYGON ((120.942993164062 14.5995314227299, 120.948486328125 14.5995314227299, 120.948486328125 14.5942155619439, 120.942993164062 14.5942155619439, 120.942993164062 14.5995314227299))",0.6131122528873119
The Philippines,21679,1176,18,12,"POLYGON ((120.948486328125 14.6048471550539, 120.953979492188 14.6048471550539, 120.953979492188 14.5995314227299, 120.948486328125 14.5995314227299, 120.948486328125 14.6048471550539))",0.859484100987746
The Philippines,7316,25089,71,4,"POLYGON ((120.953979492188 14.6048471550539, 120.95947265625 14.6048471550539, 120.95947265625 14.5995314227299, 120.953979492188 14.5995314227299, 120.953979492188 14.6048471550539))",1.0
The Philippines,7316,25089,71,4,"POLYGON ((120.953979492188 14.6048471550539, 120.95947265625 14.6048471550539, 120.95947265625 14.5995314227299, 120.953979492188 14.5995314227299, 120.953979492188 14.6048471550539))",0.57342573293557
