country,normalized_light_intensity,avg_d_kbps,avg_u_kbps,avg_lat_ms,tests,year,geometry
Philippines,0.358053086786224,49756.0,53303.333333333336,11.666666666666666,2.333333333333333,2020,"POLYGON ((120.097045898438 16.1302620120348, 120.1025390625 16.1302620120348, 120.1025390625 16.124985029561, 120.097045898438 16.124985029561, 120.097045898438 16.1302620120348))"
Taiwan,0.3001282010954432,87722.5,39520.0,10.25,185.5,2020,"POLYGON ((120.173950195312 22.9937949722422, 120.179443359375 22.9937949722422, 120.179443359375 22.9887381609607, 120.173950195312 22.9887381609607, 120.173950195312 22.9937949722422))"
Taiwan,0.32226454538284,75952.5,34794.5,11.25,176.75,2020,"POLYGON ((120.173950195312 22.9988515941429, 120.179443359375 22.9988515941429, 120.179443359375 22.9937949722422, 120.173950195312 22.9937949722422, 120.173950195312 22.9988515941429))"
Taiwan,0.303182984795908,76479.75,35316.25,8.25,261.5,2020,"POLYGON ((120.173950195312 23.0039080266307, 120.179443359375 23.0039080266307, 120.179443359375 22.9988515941429, 120.173950195312 22.9988515941429, 120.173950195312 23.0039080266307))"
Taiwan,0.3064242097664243,77667.0,36724.25,16.25,167.75,2020,"POLYGON ((120.179443359375 22.9937949722422, 120.184936523438 22.9937949722422, 120.184936523438 22.9887381609607, 120.179443359375 22.9887381609607, 120.179443359375 22.9937949722422))"
Taiwan,0.3638010166621116,77740.0,40805.25,8.75,141.5,2020,"POLYGON ((120.179443359375 22.9988515941429, 120.184936523438 22.9988515941429, 120.184936523438 22.9937949722422, 120.179443359375 22.9937949722422, 120.179443359375 22.9988515941429))"
Taiwan,0.3801210058376112,81444.0,35277.75,8.5,258.5,2020,"POLYGON ((120.179443359375 23.0039080266307, 120.184936523438 23.0039080266307, 120.184936523438 22.9988515941429, 120.179443359375 22.9988515941429, 120.179443359375 23.0039080266307))"
Taiwan,0.3341041785448223,71752.75,33701.5,8.75,169.5,2020,"POLYGON ((120.179443359375 23.0089642696731, 120.184936523438 23.0089642696731, 120.184936523438 23.0039080266307, 120.179443359375 23.0039080266307, 120.179443359375 23.0089642696731))"
Taiwan,0.3072400385117007,107784.25,46800.5,11.75,135.5,2020,"POLYGON ((120.184936523438 22.9634512649735, 120.1904296875 22.9634512649735, 120.1904296875 22.9583933180863, 120.184936523438 22.9583933180863, 120.184936523438 22.9634512649735))"
Taiwan,0.3038547582198944,81055.5,39298.0,11.0,156.25,2020,"POLYGON ((120.184936523438 22.9836811603309, 120.1904296875 22.9836811603309, 120.1904296875 22.9786239703849, 120.184936523438 22.9786239703849, 120.184936523438 22.9836811603309))"
Taiwan,0.3216275903995154,81055.5,39298.0,11.0,156.25,2020,"POLYGON ((120.184936523438 22.9836811603309, 120.1904296875 22.9836811603309, 120.1904296875 22.9786239703849, 120.184936523438 22.9786239703849, 120.184936523438 22.9836811603309))"
