longitude,latitude,light_intensity,normalized_light_intensity,country,geometry,radiance_change
123.9000024312,10.291666149000005,54.495144,0.3107141418379914,Philippines,POINT (123.9000024312 10.291666149000005),3.492114000000001
123.9208357647,10.308332815800002,81.17437,0.4587557793680569,Philippines,POINT (123.9208357647 10.308332815800002),3.8803899999999913
124.0166690988,10.308332815800002,57.74076,0.3287238962226868,Philippines,POINT (124.0166690988 10.308332815800002),-3.1241839999999996
123.9208357647,10.312499482500002,63.946327,0.3631582647640581,Philippines,POINT (123.9208357647 10.312499482500002),3.119860999999993
123.9250024314,10.312499482500002,60.040497,0.3414850172300384,Philippines,POINT (123.9250024314 10.312499482500002),-6.938759000000005
123.3875024271,12.470832833100005,79.10761,0.4472874356169437,Philippines,POINT (123.3875024271 12.470832833100005),12.229349999999997
121.0541690751,13.674999509400005,85.41672,0.482296358880209,Philippines,POINT (121.0541690751 13.674999509400005),-39.762460000000004
121.0583357418,13.674999509400005,58.432457,0.3325620869016306,Philippines,POINT (121.0583357418 13.674999509400005),-86.051763
121.0541690751,13.679166176100004,110.21462,0.6198986162810352,Philippines,POINT (121.0541690751 13.679166176100004),-30.20752999999999
121.0583357418,13.679166176100004,70.54459,0.3997716829859377,Philippines,POINT (121.0583357418 13.679166176100004),-95.23414
121.0541690751,13.683332842800002,76.32737,0.4318600284527857,Philippines,POINT (121.0541690751 13.683332842800002),3.3440000000000083
121.0583357418,13.683332842800002,57.00181,0.3246235011042961,Philippines,POINT (121.0583357418 13.683332842800002),-3.4815200000000033
121.041669075,13.754166176700004,55.951023,0.3187927386910498,Philippines,POINT (121.041669075 13.754166176700004),-8.039797
121.041669075,13.758332843400002,69.19824,0.392300856857451,Philippines,POINT (121.041669075 13.758332843400002),-11.146910000000005
121.0458357417,13.758332843400002,55.69776,0.3173873954758539,Philippines,POINT (121.0458357417 13.758332843400002),-5.588979999999999
120.541669071,14.424999515400003,61.044376,0.3470554895908949,Philippines,POINT (120.541669071 14.424999515400003),6.931373000000001
121.000002408,14.504166182700002,66.71339,0.3785125534405309,Philippines,POINT (121.000002408 14.504166182700002),-4.34559999999999
121.0041690747,14.504166182700002,84.363495,0.4764520681317591,Philippines,POINT (121.0041690747 14.504166182700002),-20.247585
121.0083357414,14.504166182700002,69.88013,0.3960846290034411,Philippines,POINT (121.0083357414 14.504166182700002),-24.01845
121.0041690747,14.508332849400002,68.71693,0.3896300926996154,Philippines,POINT (121.0041690747 14.508332849400002),-12.796669999999992
121.0083357414,14.508332849400002,81.23232,0.45907734090417,Philippines,POINT (121.0083357414 14.508332849400002),-21.472830000000002
121.0125024081,14.508332849400002,96.23416,0.5423217708424314,Philippines,POINT (121.0125024081 14.508332849400002),-12.89251999999999
121.0166690748,14.508332849400002,64.639275,0.3670033971769394,Philippines,POINT (121.0166690748 14.508332849400002),3.990195
120.9791690745,14.512499516100004,65.79092,0.3733938153867223,Philippines,POINT (120.9791690745 14.512499516100004),3.5083839999999995
120.9833357412,14.512499516100004,65.56947,0.3721650008539831,Philippines,POINT (120.9833357412 14.512499516100004),6.724712999999994
121.0083357414,14.512499516100004,67.52923,0.3830396071699954,Philippines,POINT (121.0083357414 14.512499516100004),-16.864010000000007
121.0125024081,14.512499516100004,90.183014,0.5087442763988704,Philippines,POINT (121.0125024081 14.512499516100004),-6.039686000000003
121.0166690748,14.512499516100004,67.057076,0.3804196491799709,Philippines,POINT (121.0166690748 14.512499516100004),0.5296060000000011
120.9791690745,14.516666182800002,55.516647,0.3163824088582518,Philippines,POINT (120.9791690745 14.516666182800002),-1.3109900000000039
120.9833357412,14.516666182800002,80.160614,0.4531305000478874,Philippines,POINT (120.9833357412 14.516666182800002),14.469943999999998
121.000002408,14.516666182800002,52.935722,0.302060990263039,Philippines,POINT (121.000002408 14.516666182800002),-23.977187999999998
121.0041690747,14.516666182800002,55.42821,0.3158916765447189,Philippines,POINT (121.0041690747 14.516666182800002),-10.634520000000002
121.0125024081,14.516666182800002,65.387276,0.3711540158236021,Philippines,POINT (121.0125024081 14.516666182800002),-4.817543999999998
